Test Feature A,Test Feature B,R-Value,P-Value
iBLK,G.Snap,[0.26932237],[6.63240537e-06]
iBLK,G.Tip,[0.28011158],[2.69118125e-06]
iBLK,G.Wrst,[0.52149229],[2.21719552e-20]
iBLK,Post,[0.45987947],[1.20410542e-15]
iBLK,Over,[0.56749637],[1.33478304e-24]
iBLK,Wide,[0.7357509],[1.17054973e-47]
iBLK,S.Bkhd,[0.47689076],[7.36834147e-17]
iBLK,S.Dflct,[0.29532951],[7.05844236e-07]
iBLK,S.Slap,[0.65862659],[3.07357598e-35]
iBLK,S.Snap,[0.50579036],[4.41359766e-19]
iBLK,S.Tip,[0.36502348],[5.34180265e-10]
iBLK,S.Wrst,[0.68975713],[8.79480826e-40]
OTG,Wt,[-0.00296084],[0.96123268]
OTG,GP,[0.26059385],[1.33813102e-05]
OTG,G,[0.47902694],[5.13078781e-17]
OTG,A,[0.42585859],[2.05743021e-13]
OTG,A1,[0.40380889],[4.2864107e-12]
OTG,A2,[0.40783787],[2.50200412e-12]
OTG,PTS,[0.45899026],[1.38754517e-15]
OTG,PIM,[0.10007059],[0.09956561]
OTG,Shifts,[0.31642801],[9.67152115e-08]
OTG,TOI,[0.33029294],[2.40234872e-08]
OTG,TOI/GP,[0.35104106],[2.61507242e-09]
OTG,iBLK,[0.26619758],[8.55124844e-06]
OTG,OTG,[1.],[0.]
OTG,GWG,[0.5675002],[1.33361704e-24]
OTG,G.Dflct,[0.08799783],[0.1477742]
OTG,G.Slap,[0.20997241],[0.00049012]
OTG,G.Snap,[0.34137752],[7.4970977e-09]
OTG,G.Tip,[0.151983],[0.01208399]
OTG,G.Wrst,[0.52086342],[2.5068709e-20]
OTG,Post,[0.23106202],[0.00012026]
OTG,Over,[0.3054624],[2.77078448e-07]
OTG,Wide,[0.42382497],[2.74808567e-13]
OTG,S.Bkhd,[0.29009254],[1.12868797e-06]
OTG,S.Dflct,[0.20064547],[0.00087493]
OTG,S.Slap,[0.25354033],[2.31775257e-05]
OTG,S.Snap,[0.34998697],[2.93857109e-09]
OTG,S.Tip,[0.18913133],[0.00172847]
OTG,S.Wrst,[0.40217036],[5.32454747e-12]
GWG,Wt,[0.03797789],[0.53283057]
GWG,GP,[0.47458473],[1.08598714e-16]
GWG,G,[0.77802172],[1.64617801e-56]
