Test Feature A,Test Feature B,R-Value,P-Value
TOIX,G.Wrap,[0.22441713],[0.00065856]
TOIX,G.Wrst,[0.78907588],[1.36522939e-49]
TOIX,Post,[0.65759988],[1.59237589e-29]
TOIX,Over,[0.70833955],[6.2213499e-36]
TOIX,Wide,[0.87060225],[2.14140265e-71]
TOIX,S.Bkhd,[0.82459516],[1.10653185e-57]
TOIX,S.Dflct,[0.49906249],[1.04392324e-15]
TOIX,S.Slap,[0.58049179],[7.31111953e-22]
TOIX,S.Tip,[0.72936464],[5.20633945e-39]
TOIX,S.Wrap,[0.47664365],[2.76887585e-14]
TOIX,S.Wrst,[0.89032865],[5.32394808e-79]
TOI/GP,Ht,[0.16216164],[0.01444439]
TOI/GP,Wt,[0.1095166],[0.09978248]
TOI/GP,GP,[0.70153738],[5.38928806e-35]
TOI/GP,G,[0.81997987],[1.56680843e-56]
TOI/GP,A,[0.85844157],[2.63097261e-67]
TOI/GP,A1,[0.83725638],[5.0653684e-61]
TOI/GP,A2,[0.79660045],[3.6056164e-51]
TOI/GP,PTS,[0.88228186],[9.82793875e-76]
TOI/GP,+/-,[0.09484085],[0.15436934]
TOI/GP,Shifts,[0.83539394],[1.63510847e-60]
TOI/GP,TOI,[0.87335942],[2.21656598e-72]
TOI/GP,TOIX,[0.87276097],[3.64277467e-72]
TOI/GP,TOI/GP,[1.],[nan]
TOI/GP,TOI%,[0.99177501],[1.46715758e-203]
TOI/GP,iBLK,[0.58791372],[1.63827408e-22]
TOI/GP,iFOW,[0.78173603],[4.10830857e-48]
TOI/GP,iFOL,[0.79310407],[1.9883025e-50]
TOI/GP,FO%,[0.30399906],[3.06630522e-06]
TOI/GP,OTG,[0.43567938],[6.1568595e-12]
TOI/GP,GWG,[0.65403089],[4.04069066e-29]
TOI/GP,G.Bkhd,[0.48102143],[1.48739925e-14]
TOI/GP,G.Snap,[0.59975938],[1.38785758e-23]
TOI/GP,G.Tip,[0.55329682],[1.28324352e-19]
TOI/GP,G.Wrap,[0.2169486],[0.00100161]
TOI/GP,G.Wrst,[0.76677631],[2.86067115e-45]
TOI/GP,Post,[0.64969603],[1.23126486e-28]
TOI/GP,Over,[0.66865786],[8.19128531e-31]
TOI/GP,Wide,[0.79751113],[2.29856514e-51]
TOI/GP,S.Bkhd,[0.72526219],[2.18485938e-38]
TOI/GP,S.Dflct,[0.43842506],[4.38201773e-12]
TOI/GP,S.Slap,[0.58158627],[5.87802547e-22]
TOI/GP,S.Tip,[0.67056853],[4.84218942e-31]
TOI/GP,S.Wrap,[0.38631176],[1.69351153e-09]
TOI/GP,S.Wrst,[0.80623574],[2.72926675e-53]
TOI%,Ht,[0.13844449],[0.037118]
TOI%,Wt,[0.08645784],[0.19432988]
TOI%,GP,[0.68097456],[2.57677362e-32]
TOI%,G,[0.81256382],[9.48553299e-55]
TOI%,A,[0.85002693],[1.07715838e-64]
TOI%,A1,[0.82807366],[1.42518756e-58]
TOI%,A2,[0.79024488],[7.83938049e-50]
TOI%,PTS,[0.87388199],[1.43346088e-72]
TOI%,+/-,[0.09773602],[0.14211733]
TOI%,Shifts,[0.81233912],[1.07105461e-54]
TOI%,TOI,[0.8540033],[6.58226991e-66]
TOI%,TOIX,[0.85336972],[1.03323074e-65]
TOI%,TOI/GP,[0.99177501],[1.46715758e-203]
TOI%,TOI%,[1.],[0.]
TOI%,iBLK,[0.56272022],[2.25909645e-20]
TOI%,iFOW,[0.75276198],[8.56311203e-43]
TOI%,iFOL,[0.76559452],[4.69835032e-45]
TOI%,FO%,[0.29361151],[6.81801771e-06]
TOI%,OTG,[0.42667545],[1.83840023e-11]
TOI%,GWG,[0.64649434],[2.77150793e-28]
TOI%,G.Bkhd,[0.46989555],[7.09300451e-14]
TOI%,G.Snap,[0.59605912],[3.0338085e-23]
TOI%,G.Tip,[0.55067502],[2.06051532e-19]
TOI%,G.Wrap,[0.21278798],[0.00125766]
TOI%,G.Wrst,[0.75805032],[1.04260601e-43]
TOI%,Post,[0.64617239],[3.00548435e-28]
TOI%,Over,[0.66101075],[6.46211177e-30]
TOI%,Wide,[0.78560731],[6.93637876e-49]
TOI%,S.Bkhd,[0.70834578],[6.20887965e-36]
TOI%,S.Dflct,[0.43832049],[4.43938838e-12]
TOI%,S.Slap,[0.58195513],[5.46031727e-22]
TOI%,S.Tip,[0.66392916],[2.95911091e-30]
TOI%,S.Wrap,[0.3773538],[4.26558563e-09]
TOI%,S.Wrst,[0.79218386],[3.09926926e-50]
iBLK,Ht,[0.21697506],[0.00100014]
iBLK,Wt,[0.21406217],[0.00117349]
iBLK,GP,[0.79268661],[2.43252883e-50]
iBLK,G,[0.54709542],[3.90729715e-19]
iBLK,A,[0.55539376],[8.76004814e-20]
iBLK,A1,[0.56991088],[5.77987982e-21]
iBLK,A2,[0.4765569],[2.80292941e-14]
iBLK,PTS,[0.57768124],[1.27549024e-21]
iBLK,+/-,[0.07962124],[0.2321243]
iBLK,Shifts,[0.79881022],[1.20448447e-51]
iBLK,TOI,[0.7672734],[2.31981183e-45]
iBLK,TOIX,[0.76789403],[1.78441456e-45]
iBLK,TOI/GP,[0.58791372],[1.63827408e-22]
iBLK,TOI%,[0.56272022],[2.25909645e-20]
iBLK,iBLK,[1.],[0.]
iBLK,iFOW,[0.59390687],[4.75916417e-23]
iBLK,iFOL,[0.60055942],[1.17038519e-23]
iBLK,FO%,[0.3015684],[3.70706499e-06]
iBLK,OTG,[0.12955557],[0.05124234]
iBLK,GWG,[0.40814674],[1.58081578e-10]
iBLK,G.Bkhd,[0.40823702],[1.56482359e-10]
iBLK,G.Snap,[0.33180354],[3.08966159e-07]
iBLK,G.Tip,[0.42367936],[2.62684604e-11]
iBLK,G.Wrap,[0.18676621],[0.00475187]
iBLK,G.Wrst,[0.51896962],[4.61297731e-17]
iBLK,Post,[0.43320324],[8.34472122e-12]
iBLK,Over,[0.42763587],[1.63844318e-11]
iBLK,Wide,[0.63698194],[2.9182848e-27]
iBLK,S.Bkhd,[0.65507504],[3.08111552e-29]
iBLK,S.Dflct,[0.37695653],[4.44110763e-09]
iBLK,S.Slap,[0.33396732],[2.55908502e-07]
iBLK,S.Tip,[0.57210158],[3.79019578e-21]
iBLK,S.Wrap,[0.41705773],[5.70966795e-11]
iBLK,S.Wrst,[0.6266573],[3.4278328e-26]
iFOW,Ht,[0.23963734],[0.00026837]
iFOW,Wt,[0.20278531],[0.00213686]
